pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD006603,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD006738,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD006856,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD008108,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos', 'value': ''}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD008215,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD008245,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD008341,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD008842,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000477', 'name': '6410 Triple Quadrupole LC/MS'}]",6410 Triple Quadrupole LC/MS (MS:1000477),yes
PXD009266,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD009281,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD009298,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD009375,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD009584,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD009777,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000932', 'name': 'TripleTOF 5600', 'value': ''}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",TripleTOF 5600 (MS:1000932) | Orbitrap Fusion Lumos (MS:1002732),yes
